Date,Open,High,Low,Close,Adj Close,Volume
2016-11-26,7.546620,7.812620,7.404070,7.623160,7.623160,1632680
2016-11-27,7.634950,8.117000,7.587980,7.927540,7.927540,2604180
2016-11-28,7.917990,8.080060,7.777000,7.893410,7.893410,1931140
2016-11-29,7.907460,7.993880,7.483980,7.602910,7.602910,2468920
2016-11-30,7.627140,9.314180,7.214710,8.946390,8.946390,11077200
2016-12-01,8.930840,9.127480,8.356310,8.575560,8.575560,5605070
2016-12-02,8.500420,8.500420,7.922480,8.232690,8.232690,6249910
2016-12-03,8.214510,8.563980,8.089850,8.272720,8.272720,2100120
2016-12-04,8.262300,8.422790,7.796500,7.796500,7.796500,2491800
2016-12-05,7.831980,8.145670,7.681210,7.910080,7.910080,2413870
2016-12-06,7.905610,7.959210,7.159590,7.544660,7.544660,3566450
2016-12-07,7.541850,8.012880,7.316860,7.888850,7.888850,1800020
2016-12-08,7.874660,8.032490,7.733200,7.793300,7.793300,1391520
2016-12-09,7.801390,8.065550,7.786430,7.947850,7.947850,1230840
2016-12-10,7.950830,8.032980,7.671280,7.776380,7.776380,954105
2016-12-11,7.770680,8.089210,7.739530,7.910930,7.910930,1511400
2016-12-12,7.907950,8.061160,7.830850,8.051500,8.051500,1037600
2016-12-13,8.067670,8.135450,7.967130,8.106510,8.106510,892392
2016-12-14,8.231760,8.589810,8.107970,8.408460,8.408460,3268750
2016-12-15,8.434880,8.553600,8.263810,8.421920,8.421920,1224190
2016-12-16,8.431950,8.540040,8.386690,8.510260,8.510260,960469
2016-12-17,8.480870,8.528920,8.252240,8.324960,8.324960,1046610
2016-12-18,8.332840,8.833620,8.309000,8.610990,8.610990,2073320
2016-12-19,8.600700,8.774530,8.385520,8.631220,8.631220,1948360
2016-12-20,8.632640,8.698880,8.386470,8.428370,8.428370,2093870
2016-12-21,8.453610,8.624640,8.255330,8.279600,8.279600,2788170
2016-12-22,8.303200,9.489120,8.303200,8.898360,8.898360,4342540
2016-12-23,8.894690,9.785230,8.891210,9.551650,9.551650,4014090
2016-12-24,9.608300,9.772470,9.483920,9.654270,9.654270,1553340
2016-12-25,9.654250,9.797220,9.491240,9.729210,9.729210,2456860
2016-12-26,9.716430,10.285700,9.699910,10.272000,10.272000,2243850
2016-12-27,10.268600,13.047800,10.252500,12.688100,12.688100,10888000
2016-12-28,12.541200,14.616400,12.204700,14.094400,14.094400,13579500
2016-12-29,14.144500,14.165200,12.461000,13.132500,13.132500,8200850
2016-12-30,13.091800,13.277800,12.261900,12.970200,12.970200,3491280
2016-12-31,12.964400,13.879100,12.795900,13.783800,13.783800,4421340
2017-01-01,13.792600,14.171300,13.419100,13.972800,13.972800,3923550
2017-01-02,14.071400,16.474001,13.844800,16.051600,16.051600,12171300
2017-01-03,16.065001,17.034401,15.001700,16.092899,16.092899,16381900
2017-01-04,16.139900,18.642700,15.834300,18.527100,18.527100,10179100
2017-01-05,18.554001,19.023399,14.860100,16.187599,16.187599,8528910
2017-01-06,16.185900,16.927401,13.577800,14.030000,14.030000,9256850
2017-01-07,14.088000,14.167600,12.372200,13.063200,13.063200,9904390
2017-01-08,13.014400,13.905800,12.858900,13.471800,13.471800,3741330
2017-01-09,13.511000,13.736100,12.662200,13.736100,13.736100,4649000
2017-01-10,13.697800,14.029600,13.341500,13.391300,13.391300,3943650
2017-01-11,13.384500,13.598000,11.181000,11.636900,11.636900,4338380
2017-01-12,11.607700,12.187500,11.101700,11.852700,11.852700,2923060
2017-01-13,11.836300,11.966500,11.068900,11.268200,11.268200,6063910
