date,exchange_rate
2020-04-14,0.23
2020-04-15,0.22
2020-04-16,0.24
2020-04-17,
2020-04-18,0.25
2020-04-19,0.24
2020-04-20,0.22
2020-04-21,0.23
2020-04-22,0.24
2020-04-23,0.25
2020-04-24,0.27
2020-04-25,0.27
2020-04-26,0.3
2020-04-27,0.29
2020-04-28,0.29
2020-04-29,0.3
2020-04-30,0.28
2020-05-01,0.29
2020-05-02,0.29
2020-05-03,0.27
2020-05-04,0.28
2020-05-05,0.27
2020-05-06,0.26
2020-05-07,0.28
2020-05-08,0.3
2020-05-09,0.3
2020-05-10,0.26
2020-05-11,0.25
2020-05-12,0.26
2020-05-13,0.27
2020-05-14,0.27
2020-05-15,0.27
2020-05-16,0.27
2020-05-17,0.28
2020-05-18,0.29
2020-05-19,0.29
2020-05-20,0.34
2020-05-21,0.31
2020-05-22,0.33
2020-05-23,0.32
2020-05-24,0.31
2020-05-25,0.33
2020-05-26,0.34
2020-05-27,0.34
2020-05-28,0.35
2020-05-29,0.35
2020-05-30,0.36
2020-05-31,0.33
2020-06-01,0.34
2020-06-02,0.34
2020-06-03,0.34
2020-06-04,0.34
2020-06-05,0.34
2020-06-06,0.34
2020-06-07,0.33
2020-06-08,0.33
2020-06-09,0.33
2020-06-10,0.36
2020-06-11,0.32
2020-06-12,0.33
2020-06-13,0.34
2020-06-14,0.32
2020-06-15,0.32
2020-06-16,0.32
2020-06-17,0.32
2020-06-18,0.33
2020-06-19,0.32
2020-06-20,0.32
2020-06-21,0.32
2020-06-22,0.32
2020-06-23,0.32
2020-06-24,0.32
2020-06-25,0.31
2020-06-26,0.3
2020-06-27,0.28
2020-06-28,0.29
2020-06-29,0.3
2020-06-30,0.29
2020-07-01,0.3
2020-07-02,0.32
2020-07-03,0.34
2020-07-04,0.33
2020-07-05,0.35
2020-07-06,0.35
2020-07-07,0.39
2020-07-08,0.39
2020-07-09,0.39
2020-07-10,0.4
2020-07-11,0.4
2020-07-12,0.4
2020-07-13,0.41
