date,USD_per_XMR
2018-04-17,195
2018-04-18,229
2018-04-19,237
2018-04-20,268
2018-04-21,255
2018-04-22,269
2018-04-23,282
2018-04-24,294
2018-04-25,256
2018-04-26,268
2018-04-27,251
2018-04-28,261
2018-04-29,255
2018-04-30,241
2018-05-01,239
2018-05-02,249
2018-05-03,245
2018-05-04,242
2018-05-05,241
2018-05-06,235
2018-05-07,233
2018-05-08,223
2018-05-09,226
2018-05-10,218
2018-05-11,198
2018-05-12,202
2018-05-13,209
2018-05-14,212
2018-05-15,203
2018-05-16,199
2018-05-17,191
2018-05-18,205
2018-05-19,198
2018-05-20,204
2018-05-21,198
2018-05-22,176
2018-05-23,170
2018-05-24,172
2018-05-25,164
2018-05-26,164
2018-05-27,165
2018-05-28,150
2018-05-29,157
2018-05-30,154
2018-05-31,156
2018-06-01,158
2018-06-02,162
2018-06-03,169
2018-06-04,160
2018-06-05,167
2018-06-06,164
2018-06-07,163
2018-06-08,158
2018-06-09,156
2018-06-10,138
2018-06-11,137
2018-06-12,125
2018-06-13,121
2018-06-14,131
2018-06-15,123
2018-06-16,127
2018-06-17,123
2018-06-18,127
2018-06-19,126
2018-06-20,123
2018-06-21,123
2018-06-22,111
2018-06-23,115
2018-06-24,121
2018-06-25,127
2018-06-26,121
2018-06-27,129
2018-06-28,117
2018-06-29,127
2018-06-30,130
2018-07-01,129
2018-07-02,140
2018-07-03,138
2018-07-04,138
2018-07-05,138
2018-07-06,132
2018-07-07,134
2018-07-08,137
2018-07-09,135
2018-07-10,121
2018-07-11,125
2018-07-12,119
2018-07-13,122
2018-07-14,123
2018-07-15,124
2018-07-16,134
2018-07-17,144
2018-07-18,139
2018-07-19,140
2018-07-20,130
2018-07-21,132
2018-07-22,128
2018-07-23,134
2018-07-24,148
2018-07-25,143
2018-07-26,136
2018-07-27,141
2018-07-28,139
2018-07-29,135
2018-07-30,132
2018-07-31,122
2018-08-01,128
2018-08-02,122
2018-08-03,120
2018-08-04,114
2018-08-05,117
2018-08-06,114
2018-08-07,108
2018-08-08,94
2018-08-09,101
2018-08-10,91
2018-08-11,94
2018-08-12,93
2018-08-13,88
2018-08-14,84
2018-08-15,89
2018-08-16,91
2018-08-17,99
2018-08-18,98
2018-08-19,98
2018-08-20,94
2018-08-21,95
2018-08-22,90
2018-08-23,90
2018-08-24,94
2018-08-25,92
2018-08-26,94
2018-08-27,104
2018-08-28,108
2018-08-29,103
2018-08-30,103
2018-08-31,116
2018-09-01,122
2018-09-02,122
2018-09-03,135
2018-09-04,138
2018-09-05,117
2018-09-06,117
2018-09-07,112
2018-09-08,104
2018-09-09,105
2018-09-10,105
2018-09-11,105
2018-09-12,104
2018-09-13,112
2018-09-14,116
2018-09-15,119
2018-09-16,117
2018-09-17,107
2018-09-18,112
2018-09-19,109
2018-09-20,116
2018-09-21,124
2018-09-22,122
2018-09-23,123
2018-09-24,115
2018-09-25,116
2018-09-26,115
2018-09-27,119
2018-09-28,116
2018-09-29,114
2018-09-30,115
2018-10-01,114
2018-10-02,117
2018-10-03,114
2018-10-04,114
2018-10-05,114
2018-10-06,114
2018-10-07,113
2018-10-08,113
2018-10-09,113
2018-10-10,113
2018-10-11,100
2018-10-12,100
2018-10-13,101
2018-10-14,99
2018-10-15,105
2018-10-16,106
2018-10-17,105
2018-10-18,102
2018-10-19,103
2018-10-20,103
2018-10-21,104
2018-10-22,105
2018-10-23,108
2018-10-24,106
2018-10-25,105
2018-10-26,104
2018-10-27,103
2018-10-28,104
2018-10-29,100
2018-10-30,102
2018-10-31,104
2018-11-01,104
2018-11-02,105
2018-11-03,106
2018-11-04,112
2018-11-05,111
2018-11-06,113
2018-11-07,111
2018-11-08,108
2018-11-09,106
2018-11-10,104
2018-11-11,105
2018-11-12,104
2018-11-13,103
2018-11-14,88
2018-11-15,87
2018-11-16,86
2018-11-17,87
2018-11-18,88
2018-11-19,72
2018-11-20,64
2018-11-21,68
2018-11-22,65
2018-11-23,66
2018-11-24,58
2018-11-25,57
2018-11-26,52
2018-11-27,57
2018-11-28,63
2018-11-29,60
2018-11-30,57
2018-12-01,59
2018-12-02,59
2018-12-03,54
2018-12-04,56
2018-12-05,51
2018-12-06,46
2018-12-07,46
2018-12-08,45
2018-12-09,47
2018-12-10,43
2018-12-11,42
2018-12-12,43
2018-12-13,40
2018-12-14,38
2018-12-15,38
2018-12-16,38
2018-12-17,43
2018-12-18,46
2018-12-19,46
2018-12-20,54
2018-12-21,51
2018-12-22,51
2018-12-23,52
2018-12-24,56
2018-12-25,50
2018-12-26,49
2018-12-27,43
2018-12-28,49
2018-12-29,48
2018-12-30,48
2018-12-31,45
2019-01-01,48
2019-01-02,52
2019-01-03,49
2019-01-04,50
2019-01-05,49
2019-01-06,55
2019-01-07,53
2019-01-08,53
2019-01-09,52
2019-01-10,45
2019-01-11,45
2019-01-12,45
2019-01-13,43
2019-01-14,45
2019-01-15,44
2019-01-16,46
2019-01-17,45
2019-01-18,45
2019-01-19,46
2019-01-20,43
2019-01-21,44
2019-01-22,46
2019-01-23,45
2019-01-24,46
2019-01-25,46
2019-01-26,45
2019-01-27,46
2019-01-28,43
2019-01-29,43
2019-01-30,44
2019-01-31,43
2019-02-01,43
2019-02-02,43
2019-02-03,42
2019-02-04,42
2019-02-05,43
2019-02-06,43
2019-02-07,43
2019-02-08,47
2019-02-09,48
2019-02-10,49
2019-02-11,47
2019-02-12,48
2019-02-13,48
2019-02-14,46
2019-02-15,47
2019-02-16,46
2019-02-17,47
2019-02-18,51
2019-02-19,52
2019-02-20,51
2019-02-21,49
2019-02-22,51
2019-02-23,53
2019-02-24,48
2019-02-25,48
2019-02-26,48
